layer,head,pair,suggested_alpha_deg,base_pair_stat,base_k_scale,rot_dim_stat0,rot_dim_stat1,base_scaled_dim0,base_scaled_dim1,base_channel_ratio,apply_gamma,gamma_raw,residual_gamma,final_dim0,final_dim1,dominant_channel
16,3,49,-36.06862764202601,4.185767650604248,1.911238431699652,4.123688220977783,3.5641751289367676,7.881351408279906,6.811988483732013,0.8643173144868971,0,1.0,1.0,7.881351408279906,6.811988483732013,0
16,3,50,-6.874706200983156,3.8713700771331787,2.0664518866985064,3.5728280544281006,3.592919111251831,7.383077273922303,7.4245944762014675,0.9944081522011414,1,1.0,1.0,7.383077273922303,7.4245944762014675,1
16,3,51,38.72460777843359,4.644858360290527,1.7223345427264256,4.279796600341797,3.022268772125244,7.371241520611799,5.205357903634688,0.7061711231519454,0,1.0,1.0,7.371241520611799,5.205357903634688,0
16,3,52,18.914485235626096,3.8675270080566406,2.068505270508725,3.319199562072754,3.210552930831909,6.865781788017743,6.641045658673037,0.967267219337364,1,1.0,1.0,6.865781788017743,6.641045658673037,0
16,3,53,-40.959926252388904,4.441614151000977,1.8011469992721214,4.439218521118164,3.927537441253662,7.995685118425206,7.074072276842939,0.884736226110442,0,1.0,1.0,7.995685118425206,7.074072276842939,0
16,3,54,18.168709013074928,4.89148473739624,1.6354952390709976,4.784592628479004,3.643409013748169,7.825178464771601,5.958778095973489,0.7614878207314358,0,1.0,1.0,7.825178464771601,5.958778095973489,0
16,3,55,-38.580866304635414,4.894423484802246,1.634513242436199,3.974961280822754,3.893483877182007,6.497126851675946,6.363950956465826,0.9795023403035809,1,1.0004422182896602,1.000044221828966,6.497414166508352,6.364232382016571,0
16,3,56,-42.17529669236857,4.551182270050049,1.757785016136483,4.058486461639404,3.3929100036621094,7.133946690462518,5.964006365536836,0.8360037752328885,0,1.0,1.0,7.133946690462518,5.964006365536836,0
16,3,57,-40.47605995604956,4.568764686584473,1.751020363007721,4.168780326843262,4.206921100616455,7.299619241208534,7.366404512746266,0.9909338034013511,1,1.0,1.0,7.299619241208534,7.366404512746266,1
16,3,58,14.514910574326613,5.187646865844727,1.542125014844727,4.552952766418457,5.139172077178955,7.021222352500404,7.925245815809203,0.8859311768594658,0,1.0,1.0,7.021222352500404,7.925245815809203,1
16,3,59,33.41224974426616,4.762775897979736,1.6796927194062232,3.8173701763153076,3.760380506515503,6.4120088924352725,6.316283758991176,0.9850709605913007,1,1.0137228611252453,1.0013722861125245,6.420808003191746,6.324951507476404,0
16,3,60,-25.184706504826615,4.445970058441162,1.799382338351812,3.4523491859436035,3.9472451210021973,6.212096151010176,7.102603155876714,0.8746224468236367,0,1.0,1.0,6.212096151010176,7.102603155876714,1
16,3,61,12.38242527003959,4.268383026123047,1.8742460437685613,4.090920448303223,3.6909332275390625,7.667391465604224,6.917716999529015,0.9022256174817427,1,1.0,1.0,7.667391465604224,6.917716999529015,0
16,3,62,-22.3101894634381,5.231979846954346,1.529057877517816,4.6660308837890625,4.6903252601623535,7.134631279599083,7.171778787172046,0.9948203216140175,1,1.0,1.0,7.134631279599083,7.171778787172046,1
16,3,63,-22.447272650597807,4.162268161773682,1.9220289729220457,3.902212142944336,3.799494981765747,7.500164797227237,7.302739437425686,0.9736771970831177,1,1.0,1.0,7.500164797227237,7.302739437425686,0
16,4,32,-28.53929014844955,4.3991804122924805,1.818520553884508,3.529775381088257,3.8439576625823975,6.418969081104517,6.99031601766794,0.9182659360293082,1,1.0,1.0,6.418969081104517,6.99031601766794,1
16,4,33,-40.038328962424444,3.557007312774658,2.249081684839036,2.9902093410491943,3.2416434288024902,6.725225062788346,7.290720864498494,0.9224362292535737,1,1.0,1.0,6.725225062788346,7.290720864498494,1
16,4,34,-6.463266066701276,11.801519393920898,0.6778788165294118,10.665331840515137,11.07347583770752,7.229802525941855,7.50647469573221,0.9631421964364102,1,1.0,1.0,7.229802525941855,7.50647469573221,1
16,4,35,-39.503281755880415,4.528075695037842,1.7667549172746642,3.978797197341919,4.431515216827393,7.0295595132424875,7.829401300307295,0.8978412580495249,0,1.0,1.0,7.0295595132424875,7.829401300307295,1
16,4,36,-29.11974427238581,4.8041791915893555,1.6652168208058407,3.3752987384796143,4.606255531311035,5.620604234560988,7.670414191669081,0.7327641107915119,0,1.0,1.0,5.620604234560988,7.670414191669081,1
16,4,37,-34.03515478001999,4.748207092285156,1.684846478789505,3.9787604808807373,3.953278064727783,6.703600586158748,6.660666627032394,0.993595388243297,1,1.0,1.0,6.703600586158748,6.660666627032394,0
16,4,38,36.546022796407314,4.311713695526123,1.855410763544175,4.2675018310546875,4.03582763671875,7.917968830783343,7.488118036977019,0.9457119871279163,1,1.0,1.0,7.917968830783343,7.488118036977019,0
16,4,39,-25.27550631744752,5.322417259216309,1.503076442597052,5.320930480957031,4.709334373474121,7.997765258623115,7.0784895570814985,0.8850584292217801,0,1.0,1.0,7.997765258623115,7.0784895570814985,0
16,4,40,36.49599211250185,17.20091438293457,0.46509155396628143,15.733573913574219,12.802247047424316,7.317552340907581,5.954216973546814,0.8136897006203476,0,1.0,1.0,7.317552340907581,5.954216973546814,0
16,4,41,-25.322139983890786,4.713406562805176,1.6972862182376252,3.8690078258514404,3.943695068359375,6.566813661071167,6.693579288458056,0.9810616081585117,1,1.0,1.0,6.566813661071167,6.693579288458056,1
16,4,42,-25.93091804248829,4.755034446716309,1.682427349295981,4.199563980102539,4.321065425872803,7.065461295242795,7.269878650585689,0.9718816000695657,1,1.0,1.0,7.065461295242795,7.269878650585689,1
16,4,43,-15.635365293690626,4.967123985290527,1.6105899558156649,4.899792671203613,4.511024475097656,7.891556861819746,7.265410710030917,0.9206561946200761,1,1.0,1.0,7.891556861819746,7.265410710030917,0
16,4,44,-30.25398472262356,5.752434730529785,1.3907154752302977,4.17340612411499,5.487329959869385,5.804020481227614,7.631314692885202,0.7605531569336009,0,1.0,1.0,5.804020481227614,7.631314692885202,1
16,4,45,6.469126324656006,5.980985641479492,1.3375721794946613,5.821254253387451,4.84084415435791,7.786347739096021,6.4749784661385,0.8315809520845048,0,1.0,1.0,7.786347739096021,6.4749784661385,0
16,4,46,31.88665490820813,5.656777858734131,1.4142326603205582,5.384988784790039,5.439179420471191,7.615627014909987,7.692265181773805,0.9900369832483927,1,1.0,1.0,7.615627014909987,7.692265181773805,1
16,4,47,32.20637694062393,6.1413655281066895,1.302641890209441,5.72039270401001,5.818195343017578,7.4516231646918945,7.579024979236185,0.983190210496294,1,1.0,1.0,7.4516231646918945,7.579024979236185,1
