layer,head,bucket_index,bucket_pair_lo,bucket_pair_hi,bucket_pairs,base_alpha,chosen_bucket_alpha,residual_gamma,head_fakeq_err_before,head_fakeq_err_after,head_fakeq_err_delta,head_fakeq_err_gain_pct
16,1,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.871331194821851,4.812962562228499,0.05836863259335168,1.1982070251227555
16,1,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.871331194821851,4.750208400163257,0.12112279465859377,2.4864413815128277
16,2,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.673365299909464,4.536742945724766,0.1366223541846976,2.9234255277956627
16,2,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.673365299909464,4.601688485003821,0.0716768149056426,1.533730198814785
16,2,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.673365299909464,4.522202583994981,0.1511627159144826,3.2345581013624387
16,2,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.673365299909464,4.601272742420273,0.0720925574891913,1.5426261989532026
16,3,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.281088056730299,5.222301390025575,0.05878666670472388,1.1131544498638921
16,3,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.281088056730299,5.052189168512247,0.22889888821805204,4.33431303850993
16,3,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.281088056730299,5.250246334036991,0.030841722693308427,0.5840031895321887
16,3,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.281088056730299,5.241070063882335,0.04001799284796448,0.7577603785069431
16,4,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.06871570154713,4.977302645144365,0.09141305640276443,1.8034757083507824
16,4,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.06871570154713,4.974956217732894,0.09375948381423616,1.8497680543735733
16,4,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.06871570154713,4.998443370138515,0.07027233140861444,1.386393231468183
16,4,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.06871570154713,4.97632138490728,0.09239431663984998,1.8228348575882518
16,5,0,32,39,"32,33,34,35,36,37,38,39",8.0,6.400000095367432,0.800000011920929,5.64360095698801,5.627064741071526,0.01653621591648413,0.29300824141382087
16,5,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.64360095698801,5.612577521506451,0.031023435481558614,0.5497099408338718
16,5,2,48,55,"48,49,50,51,52,53,54,55",8.0,6.400000095367432,0.800000011920929,5.64360095698801,5.600488832316898,0.043112124671111474,0.7639116408067309
16,5,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.64360095698801,5.596627646758137,0.04697331022987328,0.8323286955947881
16,6,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.711853280245842,4.584732467298219,0.12712081294762356,2.697894127573323
16,6,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.711853280245842,4.635435353172417,0.07641792707342532,1.6218231453386467
16,6,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.711853280245842,4.571963797986394,0.13988948225944853,2.9688845118740574
16,6,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.711853280245842,4.568535710460477,0.14331756978536525,3.041639059225707
16,7,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.782258671253944,5.7069274201039235,0.07533125115002015,1.3027997437147476
16,7,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.782258671253944,5.7308581404960375,0.05140053075790618,0.8889351666925589
16,7,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.782258671253944,5.758658066469632,0.023600604784311585,0.4081554652966355
16,7,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.782258671253944,5.763677596742422,0.018581074511521578,0.3213463037185792
17,0,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.013397980921683,4.905277985535894,0.1081199953857892,2.1566210342214243
17,0,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.013397980921683,4.833608482101786,0.17978949881989692,3.5861804609185186
17,0,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.013397980921683,4.9122885074247415,0.10110947349694133,2.0167852997450035
17,0,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.013397980921683,4.940091376108224,0.07330660481345852,1.4622139533391192
17,1,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.119732057760819,4.865594202744984,0.2541378550158351,4.963889753382632
17,1,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,5.119732057760819,5.071235045432205,0.04849701232861392,0.9472568443322933
17,1,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,5.119732057760819,5.052237059250747,0.0674949985100719,1.3183306811488043
17,1,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,5.119732057760819,5.050796329516594,0.06893572824422556,1.3464714064426155
17,2,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,4.957083417350378,4.803104550774964,0.15397886657541449,3.106239165483281
17,2,1,40,47,"40,41,42,43,44,45,46,47",8.0,5.599999904632568,0.699999988079071,4.957083417350378,4.9057157161037015,0.05136770124667667,1.0362484735859727
17,2,2,48,55,"48,49,50,51,52,53,54,55",8.0,5.599999904632568,0.699999988079071,4.957083417350378,4.83900391328757,0.1180795040628082,2.3820358489331848
17,2,3,56,63,"56,57,58,59,60,61,62,63",8.0,5.599999904632568,0.699999988079071,4.957083417350378,4.871105385766187,0.08597803158419115,1.7344479474212169
17,3,0,32,39,"32,33,34,35,36,37,38,39",8.0,5.599999904632568,0.699999988079071,5.184599706373417,5.085400618219669,0.0991990881537479,1.9133413141192497
