layer,head,pair,dim0,dim1,pre_spread,pre_anisotropy,pre_mean_compactness,pre_balance,pre_mu_norm,pre_mu_angle,pre_pca_angle,pre_lam1,pre_lam2,post_spread,post_anisotropy,post_mean_compactness,post_balance,post_mu_norm,post_mu_angle,post_pca_angle,post_lam1,post_lam2,mu_drift,pca_drift,shape_label,orientation_source,orientation_label,base_angle_rad,base_angle_deg,diag_distance_rad,diag_distance_deg,axis_distance_rad,axis_distance_deg,target_diag_angle_rad,target_diag_angle_deg,suggested_alpha_rad,suggested_alpha_deg
0,6,59,118,119,0.712931297,0.629016477,0.823506453,0.755034506,1.823866005,0.892022558,1.585735764,0.580688415,0.132242882,0.712982739,0.628891136,0.823493704,0.754625261,1.823851813,0.893309273,1.587033659,0.580685632,0.132297107,0.001286715,0.001297895,elongated,pca,axis_like,1.585735764,90.85596668,0.770458727,44.14403332,0.014939437,0.855966682,2.35619449,135,0.770458727,44.14403332
1,0,33,66,67,0.395629889,0.912489815,0.980321477,0.059114575,4.439484573,1.592051113,1.571377558,0.378319067,0.017310822,0.967382912,0.245017789,0.951882631,0.435798526,4.374616353,1.861853754,-3.032684452,0.602204467,0.365178445,0.269802641,1.462469357,elongated,pca,axis_like,1.571377558,90.03330209,0.784816932,44.96669791,0.000581231,0.033302085,2.35619449,135,0.784816932,44.96669791
1,0,39,78,79,0.394080505,0.913322039,0.991619781,0.265398145,6.82868965,2.990655105,3.072239204,0.377001457,0.017079047,0.502184812,0.577205545,0.989320916,0.141628504,6.820769502,3.069624637,-2.932672511,0.396024335,0.106160477,0.078969532,0.278273592,elongated,pca,axis_like,3.072239204,176.02634,0.716044714,41.02634005,0.06935345,3.973659953,2.35619449,135,-0.716044714,-41.02634005
1,0,40,80,81,0.311048373,0.874855386,0.988596419,0.37836957,5.192815002,-0.227956552,3.086834953,0.291585358,0.019463014,0.350700718,0.725827331,0.987142694,0.285150588,5.188995548,-0.163645441,-3.024688426,0.302624442,0.048076276,0.064311111,0.171661928,elongated,pca,axis_like,3.086834953,176.8626149,0.730640463,41.86261488,0.0547577,3.137385115,2.35619449,135,-0.730640463,-41.86261488
1,0,41,82,83,0.225884444,0.8018127,0.985714877,0.518661022,3.947997053,-0.33482227,3.076207366,0.20350073,0.022383714,0.239474233,0.754302543,0.984855447,0.452679813,3.946275566,-0.282448719,-3.089136161,0.210055128,0.029419105,0.052373551,0.11784178,elongated,pca,axis_like,3.076207366,176.253699,0.720012876,41.25369901,0.065385287,3.746300993,2.35619449,135,-0.720012876,-41.25369901
1,0,46,92,93,1.247212126,0.95448176,0.791123716,0.735317707,2.173440714,-2.469414177,1.579974871,1.218826676,0.028385451,1.247192634,0.956059878,0.791126991,0.73528868,2.173445265,-2.450590726,1.59845551,1.219791735,0.027400899,0.018823451,0.018480639,elongated,pca,axis_like,1.579974871,90.52589184,0.776219619,44.47410816,0.009178544,0.525891836,2.35619449,135,0.776219619,44.47410816
1,0,48,96,97,0.339689428,0.79956981,0.869062657,0.618623853,1.501532712,-2.669698527,1.584402478,0.305647419,0.034042008,0.340926697,0.801112984,0.868585744,0.627034187,1.5011207,-2.657093842,1.596618124,0.30702375,0.033902947,0.012604686,0.012215645,elongated,pca,axis_like,1.584402478,90.77957505,0.771792012,44.22042495,0.013606151,0.779575054,2.35619449,135,0.771792012,44.22042495
1,0,50,100,101,0.511930574,0.883100384,0.861797948,0.540774822,1.786697444,0.280407701,1.523738865,0.48200833,0.029922244,0.513177124,0.883813588,0.861461434,0.546560884,1.786348625,0.288749173,1.531084359,0.48336502,0.029812104,0.008341472,0.007345494,elongated,pca,axis_like,1.523738865,87.30380603,0.738340701,42.30380603,0.047057462,2.696193972,0.785398163,45,-0.738340701,-42.30380603
1,0,53,106,107,1.43335263,0.954476579,0.728293981,0.686900258,1.960109144,1.941900571,3.118626694,1.400727073,0.032625558,1.433970492,0.954681512,0.728176861,0.688221633,1.959951537,1.94640657,3.122875605,1.401477805,0.032492687,0.004505998,0.004248911,elongated,pca,axis_like,3.118626694,178.6841475,0.762432204,43.68414746,0.022965959,1.315852535,2.35619449,135,-0.762432204,-43.68414746
1,0,57,114,115,1.414009011,0.847864663,0.669164418,0.645808458,1.691166637,-2.670522635,1.600578579,1.306448642,0.107560369,1.413847528,0.847956706,0.669202182,0.646097183,1.691214308,-2.668562048,1.602395342,1.30636451,0.107483017,0.001960587,0.001816764,elongated,pca,axis_like,1.600578579,91.70639734,0.755615911,43.29360266,0.029782252,1.70639734,2.35619449,135,0.755615911,43.29360266
