model,stage,layer,head,tokens,mean,p50,p90,p99,p99_9,max,mean_delta_vs_orig,mean_gain_pct_vs_orig,p50_delta_vs_orig,p50_gain_pct_vs_orig,p90_delta_vs_orig,p90_gain_pct_vs_orig,p99_delta_vs_orig,p99_gain_pct_vs_orig,p99_9_delta_vs_orig,p99_9_gain_pct_vs_orig,max_delta_vs_orig,max_gain_pct_vs_orig
orig,post,2,1,20480,12.735170364379883,12.743279457092285,13.97330379486084,14.855063438415527,15.49423885345459,16.206724166870117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,2,1,20480,5.921716213226318,5.8870930671691895,6.674862384796143,7.336263656616211,7.825740337371826,8.06464672088623,6.8134541511535645,53.50108366206638,6.856186389923096,53.80237020626019,7.298441410064697,52.231322793890364,7.518799781799316,50.61439025804179,7.668498516082764,49.492579716963625,8.142077445983887,50.23888456513606
fireq_rpn,post,2,2,20480,8.716339111328125,8.692913055419922,9.62496280670166,10.387846946716309,10.816099166870117,11.320663452148438,-0.0703277587890625,-0.8134127509375689,-0.06170368194580078,-0.7148903389533305,-0.10213756561279297,-1.0725552871861195,-0.10837173461914062,-1.0542535721240496,-0.016204833984375,-0.1500462271656787,0.20199012756347656,1.7529827323727167
orig,post,2,2,20480,8.646011352539062,8.631209373474121,9.522825241088867,10.279475212097168,10.799894332885742,11.522653579711914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,2,2,20480,5.8169660568237305,5.785783767700195,6.584776878356934,7.387941360473633,7.881376266479492,8.164236068725586,2.829045295715332,32.720814030443414,2.845425605773926,32.966708170915595,2.9380483627319336,30.852696425162883,2.891533851623535,28.12919718139598,2.91851806640625,27.023579828177997,3.358417510986328,29.14621608428407
fireq_rpn,post,2,3,20480,10.694435119628906,10.632291793823242,12.243910789489746,13.689644813537598,14.751809120178223,15.123651504516602,-0.08936309814453125,-0.8426448963618,-0.06826972961425781,-0.6462475106480169,-0.15258121490478516,-1.2619060125984745,-0.3835477828979492,-2.882496512799827,-0.6817684173583984,-4.8455326587773335,-0.061138153076171875,-0.40589609217060196
orig,post,2,3,20480,10.605072021484375,10.564022064208984,12.091329574584961,13.306097030639648,14.070040702819824,15.06251335144043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,2,3,20480,5.586194038391113,5.547493934631348,6.432300090789795,7.312957763671875,7.9241108894348145,8.198568344116211,5.018877983093262,47.325260714172664,5.016528129577637,47.4869145396211,5.659029483795166,46.80237561045402,5.993139266967773,45.04054985596082,6.14592981338501,43.6809668372408,6.863945007324219,45.56971899160388
fireq_rpn,post,2,4,20480,7.514134883880615,7.430194854736328,9.105239868164062,10.407658576965332,11.358299255371094,11.895736694335938,-0.027099609375,-0.36195380923712084,-0.00043487548828125,-0.005853156622769704,-0.06386756896972656,-0.7063924242497758,-0.10406208038330078,-1.0099588082454594,-0.1842021942138672,-1.648474979282045,-0.23258590698242188,-1.9941944610252091
orig,post,2,4,20480,7.487035274505615,7.429759979248047,9.041372299194336,10.303596496582031,11.174097061157227,11.663150787353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rot_noclip_rpn,post,2,4,20480,5.61959981918335,5.555495262145996,6.507956027984619,7.344969272613525,7.8588690757751465,8.203615188598633,1.8674354553222656,24.94225533678384,1.8742647171020508,25.226450414778295,2.533416271209717,28.020262714272544,2.958627223968506,28.714509782578915,3.31522798538208,29.668866909222498,3.459535598754883,29.662101278036257
fireq_rpn,post,2,5,20480,6.2055792808532715,6.065189361572266,7.479567050933838,9.148598670959473,10.532564163208008,11.707298278808594,0.04224681854248047,0.6761842898695004,0.08876848220825195,1.4424616557613503,0.2368335723876953,3.0692233846944825,0.02105712890625,0.22963925108899239,-0.2889404296875,-2.820685698772709,0.5128803253173828,4.196995329873622
orig,post,2,5,20480,6.247826099395752,6.153957843780518,7.716400623321533,9.169655799865723,10.243623733520508,12.220178604125977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
