method,layer,head,mean_logit_mse,sink_mse,local_mse,long_mse,top1_match_rate,mean_attention_kl,mean_attention_l1,mean_margin_drop,query_count,logit_count
fireq,16,21,7.0719437712143005,1.050592819975109,5.4950453791357035,7.111701821561488,0.9375,0.0034623127846906687,0.01138261980486277,0.09514221549034119,32,295552
fireq,14,27,6.98906359651811,1.1519446788710848,4.916416248097425,7.015860921814677,0.9375,0.04634379120809118,0.07067093682439918,-0.07801809906959534,32,295552
fireq,17,24,6.968636412958225,1.1338067724911962,5.057941038292902,6.956951108129487,1.0,0.016181991451482247,0.02184054994518192,-0.07659411430358887,32,295552
fireq,16,10,6.943957880113675,1.0611752127698855,5.440195305249691,6.947505609744164,0.75,0.16577845733728225,0.19568777707536356,-0.01072537899017334,32,295552
fireq,15,14,6.88163932709104,1.4303558952463977,6.37800125979449,6.837072738269574,0.96875,0.04056773995529994,0.07516600092048975,-0.15593165159225464,32,295552
fireq,17,21,6.750726904384136,1.3817349913789185,4.677982153351774,6.743730330799775,0.96875,0.106479032123588,0.0601691785359435,-0.22989219427108765,32,295552
fireq,13,17,6.692008288702093,0.37054963313515327,9.926176578792877,6.556464351889689,0.875,0.08243946440251573,0.09104876705077913,-0.14448946714401245,32,295552
fireq,13,21,6.676952540773353,1.3465693775665786,5.632868122776371,6.678662286590654,0.6875,0.1105704357837567,0.09687578224111348,-0.19888591766357422,32,295552
fireq,15,26,6.655126803897894,1.1664285332638247,5.621920600962005,6.664186083595196,0.875,0.10577208044777109,0.17053692400077125,-0.22826418280601501,32,295552
fireq,15,13,6.621493140772738,1.4426288993143317,4.7598172010792235,6.650288298596285,0.96875,0.017984648076465576,0.05001450918399486,-0.015788257122039795,32,295552
fireq,17,28,6.575356544637379,1.100775227195947,5.018226323830195,6.597325066084065,0.9375,0.1605268333785368,0.11006972419545491,-0.1327991485595703,32,295552
fireq,15,22,6.548145433441454,0.9077277235180445,6.8258967475396615,6.572720134505987,0.875,0.17422368649540854,0.215420843926438,0.04689735174179077,32,295552
fireq,21,30,6.451657230538883,2.40897561128065,5.628556974931573,6.471263516515943,1.0,5.798592133032798e-05,0.0011364302572474116,0.0024460554122924805,32,295552
fireq,16,20,6.295627182069728,0.7064630552770904,5.6011753317718584,6.3419099203446905,1.0,0.0041758957094337745,0.007816586621174793,0.028861254453659058,32,295552
fireq,15,4,6.232052213448489,1.0047795723846649,4.627012783977821,6.239632141043785,0.8125,0.28879429335473883,0.29640965197103813,-0.37331031262874603,32,295552
fireq,16,19,6.117700630497426,0.7031805553208705,4.9210074740667675,6.1403078048276045,0.96875,0.019209267987426226,0.04575897300713905,0.023142963647842407,32,295552
fireq,8,28,6.0731962202278735,1.1845111363418401,4.312527021594806,6.131199380308347,0.9375,0.03660139516034677,0.05969282062187631,0.10344427824020386,32,295552
