layer,head,pair,dim0,dim1,source,n_tokens_used,shape_label,orientation_label,r_mean,r_median,q99,q99_5,q99_9,r_max,ratio_max_q99,ratio_max_q99_5,ratio_max_q99_9,clip_tau,clip_reduction_frac,clip_fraction_at_tau,tail_label,shape_aware_action
12,0,61,122,123,raw_post,20480,isotropic_scatter,axis_like,1.4695153939656085,1.3541072665856153,3.7850535492423507,4.102928046781792,4.825817490346612,6.507531259792041,1.71927059290737,1.5860700420755232,1.3484826711348838,4.825817490346612,0.25842576889890667,0.001025390625,mild_clip,mild_clip
7,0,37,74,75,raw_post,20480,isotropic_scatter,intermediate,1.2442860508644453,1.1513116399013328,3.2531171017643308,3.4863758825478546,3.9701825849773296,5.35368229971157,1.6457084489236482,1.5356010023219533,1.3484725664681592,3.9701825849773296,0.25842021197424747,0.001025390625,mild_clip,mild_clip
22,6,37,74,75,raw_post,20480,elongated,intermediate,1.58152904680647,1.4376745962302948,4.360694588675345,4.802238559675009,6.025229476379243,8.12476331345952,1.8631810020723305,1.691869991983356,1.3484570745912825,6.025229476379243,0.25841169226458316,0.001025390625,mild_clip,mild_clip_check_rotation
11,6,32,64,65,raw_post,20480,compact_cluster,already_diagonal,1.5379769433029462,1.4404851007203323,3.7902567494544406,4.050330846157367,4.619667352014481,6.22879145219745,1.643369265972287,1.5378475706760681,1.3483203394463639,4.619667352014481,0.25833648670566545,0.001025390625,mild_clip,mild_clip
29,0,33,66,67,raw_post,20480,isotropic_scatter,already_diagonal,1.2966170577490665,1.2130814580911946,3.2334103485967476,3.488282814745541,4.0828656707140425,5.503971220469686,1.7022185949452189,1.5778454651679905,1.348065712753932,4.0828656707140425,0.2581963990782591,0.001025390625,mild_clip,mild_clip
20,1,58,116,117,raw_post,20480,isotropic_scatter,axis_like,1.2729711032186866,1.1561917702800364,3.4874320446487492,3.963330603151157,5.065237464595996,6.828206069486026,1.957946701775448,1.7228454431878757,1.348052508339931,5.065237464595996,0.2581891329800965,0.001025390625,mild_clip,mild_clip
10,5,36,72,73,raw_post,20480,isotropic_scatter,already_diagonal,1.3288863078843978,1.2382350216672295,3.3245281063852783,3.5920990212659345,4.256301443463301,5.737571550794425,1.725830363646052,1.5972754416921333,1.3480181389891954,4.256301443463301,0.2581702196160023,0.001025390625,mild_clip,mild_clip
22,1,62,124,125,raw_post,20480,isotropic_scatter,already_diagonal,1.2589399548236957,1.1523692539355355,3.3265583197040076,3.573843068920411,4.106648829501076,5.535205638463943,1.6639436638394658,1.54881049103704,1.3478643702623156,4.106648829501076,0.2580855892752888,0.001025390625,mild_clip,mild_clip
10,0,48,96,97,raw_post,20480,isotropic_scatter,axis_like,2.4989758039074808,2.2796531562525875,6.475437076267206,6.923652937164271,7.793532757359353,10.503986608702036,1.6221278170086249,1.5171162829840177,1.3477824416383224,7.793532757359353,0.258040489988554,0.001025390625,mild_clip,mild_clip
7,4,48,96,97,raw_post,20480,isotropic_scatter,already_diagonal,1.2062942979025402,1.1370332340878266,2.919259739260173,3.157966008540115,3.6700809930942513,4.946399706581495,1.6944020568156295,1.5663245561240695,1.347763091846967,3.6700809930942513,0.25802983769973575,0.001025390625,mild_clip,mild_clip
