layer,head,pair,dim0,dim1,shape_label,orientation_label,pre_anisotropy,post_anisotropy,post_balance,heuristic_alpha_deg,post_absmax_dim0,post_absmax_dim1,post_residual_gap,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent,support_count_234,bucket_best_alpha_mean_deg,bucket_best_alpha_std_deg,bucket_best_alpha_range_deg,best_global_alpha_deg,best_global_gap,global_gap_reduction,global_gap_reduction_pct,override_priority
11,2,61,122,123,elongated,intermediate,0.7686143782531595,0.7686187687615598,0.46821320056915283,-26.106669780140283,6.656479835510254,9.827446937561035,0.3226643829468235,1,1,1,0,2,-20.25,9.113862991333008,75.0,-25.0,0.0037836614064872265,0.31888071866706014,98.82736935337431,high
5,4,44,88,89,elongated,already_diagonal,0.7239906052643293,0.7110079300343093,0.634511411190033,-8.858746639299268,4.605157852172852,6.781649589538574,0.32093839539028907,1,1,1,0,2,-17.375,6.372548580169678,25.0,-20.0,0.00848598126322031,0.31245242711156607,97.35588479228996,high
0,0,54,108,109,isotropic_scatter,already_diagonal,0.36967188850380267,0.36911901523907165,0.7476286888122559,-0.5864952161529869,2.1919941902160645,3.2160847187042236,0.31842772130106395,1,0,1,1,2,-19.4375,5.809138774871826,20.0,-25.0,0.05241825431585312,0.26600945740938187,83.5384131513391,high
0,1,62,124,125,compact_cluster,already_diagonal,0.42345824259493076,0.42340048403054703,0.7432453036308289,5.330428027431814,4.0459885597229,2.7615644931793213,0.3174561785294682,1,0,1,1,2,10.125,3.7893764972686768,20.0,20.0,0.038356564939022064,0.27909962087869644,87.91752479472989,high
1,7,47,94,95,elongated,intermediate,0.8839984456946377,0.8809632551745766,0.5732806324958801,29.739270387925917,6.600054740905762,4.508231163024902,0.3169403376181372,1,1,1,0,2,4.125,5.851015090942383,30.0,20.0,0.032719019800424576,0.2842213176190853,89.6765996821929,high
9,1,39,78,79,elongated,intermediate,0.9461786905399189,0.8702626337155172,0.48156481981277466,20.974557844861994,5.122210502624512,7.476808071136475,0.31492015658415373,1,1,1,0,2,12.1875,10.02633285522461,40.0,15.0,0.01261117123067379,0.3023089859634638,95.99543854447543,high
1,5,48,96,97,elongated,already_diagonal,0.9002135777490469,0.8877132722623114,0.8318003416061401,-8.071809775096783,3.382924795150757,2.34741473197937,0.3060990491588035,1,1,1,1,3,-10.5625,2.7378995418548584,10.0,-15.0,0.040545832365751266,0.26555322483181953,86.75401592642572,high
1,4,47,94,95,elongated,axis_like,0.9749589375570484,0.9722517021523094,0.5614690780639648,33.083022960876036,3.4000630378723145,4.8992509841918945,0.30600349954654615,1,1,1,0,2,28.4375,13.171792030334473,85.0,30.0,0.033372703939676285,0.27263080701231956,89.0940127334318,high
0,4,54,108,109,elongated,axis_like,0.7804281754639641,0.7805356833291759,0.7067816257476807,-39.81301311537584,1.4404244422912598,2.068549633026123,0.3036548800697454,1,1,1,0,2,23.75,17.862319946289062,85.0,35.0,0.013642958365380764,0.290011920966208,95.50708409645453,high
0,3,56,112,113,elongated,already_diagonal,0.7317916854870626,0.7318131293274103,0.6145055890083313,1.8244728120540685,2.3600118160247803,3.386384963989258,0.3030881482403527,1,1,1,0,2,12.75,8.287792205810547,55.0,35.0,0.012012100778520107,0.2910760575905442,96.03676341459266,high
0,5,60,120,121,elongated,intermediate,0.7928460027418545,0.7928388240827352,0.5470972061157227,29.536375732388947,3.6640124320983887,2.5622317790985107,0.30070330639377374,1,1,1,0,2,-8.5,39.68154525756836,85.0,-40.0,0.015477641485631466,0.2852256754413247,94.85285308994742,high
31,2,45,90,91,elongated,already_diagonal,0.7428816348899433,0.7495407434325226,0.7180904150009155,8.494992211733024,9.769028663635254,6.851059436798096,0.29869594279103306,1,1,1,0,2,-16.25,7.520804405212402,45.0,-25.0,0.006902431603521109,0.29179352009668946,97.6891445752004,high
7,4,55,110,111,elongated,intermediate,0.7589115847406488,0.7588335481900914,0.4979017972946167,-26.999336310007052,9.763710975646973,6.894704341888428,0.2938438715478708,1,1,1,0,2,-7.0625,6.456283092498779,35.0,-15.0,0.009699596092104912,0.2841442693024874,96.6990646277132,high
0,2,42,84,85,elongated,axis_like,0.8300527233012057,0.782671369468897,0.4177427291870117,34.075766268061344,2.8799195289611816,4.056942462921143,0.29012561669717707,1,1,1,1,3,14.1875,6.775126934051514,20.0,15.0,0.02541256695985794,0.2647130414843559,91.24083975346687,high
0,3,57,114,115,elongated,already_diagonal,0.8003878174962382,0.8003962479296765,0.6165151596069336,8.485269338730983,2.978864908218384,2.1164026260375977,0.28952715505874094,1,1,1,0,2,-14.75,5.471517086029053,25.0,-15.0,0.05292550474405289,0.23660164326429367,81.72002000222544,high
1,4,36,72,73,isotropic_scatter,axis_like,0.767034693640059,0.5777702846629125,0.576724648475647,-31.690025115406232,4.904518127441406,6.8927998542785645,0.2884577775173572,1,1,1,0,2,-4.6875,27.310068130493164,85.0,30.0,0.006281164009124041,0.28217661706730723,97.82250144694147,high
