layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
1,1,61,122,123,high,5.0,0.5,21,25.0,35.0,30.0,0.5235987755982988,0.013597995974123478,0.013597995974123478,30.5,0.5323254218582705,0.003062125062569976,0.4623601734638214,0.5,0.010535870911553502,77.48105626448857,0.45929804840125144,99.33771867943778,0.46236017880087543,3,1,1,1,1
10,0,50,100,101,high,5.0,0.5,21,-30.0,-20.0,-25.0,-0.4363323129985824,0.006561385001987219,0.006561385001987219,-24.5,-0.4276056667386107,0.006288602016866207,0.46318376064300537,0.5,0.00027278298512101173,4.15739946731361,0.45689515862613916,98.64230947817856,0.4631837506326432,2,1,1,1,0
1,0,46,92,93,high,5.0,0.5,21,-45.0,44.5,-45.0,-0.7853981633974483,0.0036945496685802937,0.0036945496685802937,44.5,0.7766715171374766,0.0032743674237281084,0.4592811167240143,-0.5,0.00042018224485218525,11.373030072529756,0.4560067493002862,99.28706683020549,0.4592811050336685,2,1,1,1,0
0,6,57,114,115,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.027684040367603302,0.027684040367603302,36.5,0.6370451769779303,0.0007908734842203557,0.4532777667045593,1.5,0.026893166883382946,97.14321510256913,0.45248689322033897,99.82552122731053,0.4532777526293503,2,1,1,1,0
0,5,44,88,89,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.020001018419861794,0.020001018419861794,34.5,0.6021385919380436,0.006581117864698172,0.4502454400062561,-0.5,0.013419900555163622,67.09608617647757,0.44366432214155793,98.53832659257877,0.45024544659553656,3,1,1,1,1
0,5,46,92,93,high,5.0,0.5,21,15.0,25.0,20.0,0.3490658503988659,0.034262027591466904,0.034262027591466904,21.0,0.3665191429188092,0.004362932872027159,0.43984049558639526,1.0,0.029899094719439745,87.26598167496145,0.4354775627143681,99.00806476079232,0.4398404862296252,2,1,0,1,1
1,1,50,100,101,high,5.0,0.5,21,-45.0,44.5,-45.0,-0.7853981633974483,0.009120704606175423,0.009120704606175423,44.0,0.767944870877505,0.0027127841021865606,0.4350263178348541,-1.0,0.006407920503988862,70.25685822178919,0.43231353373266757,99.37640919848523,0.4350263197288502,2,1,1,1,0
1,5,60,120,121,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.005255210679024458,0.005255210679024458,35.0,0.6108652381980153,0.005255210679024458,0.4359821379184723,0.0,0.0,0.0,0.43072692723944783,98.79462706795407,0.4359821359690425,3,1,1,1,1
1,3,45,90,91,high,5.0,0.5,21,-20.0,-10.0,-15.0,-0.2617993877991494,0.06645232439041138,0.06645232439041138,-17.5,-0.30543261909900765,0.007162627764046192,0.43609100580215454,-2.5,0.059289696626365185,89.22140372101158,0.42892837803810835,98.35753829619323,0.4360910189735258,3,1,1,1,1
0,7,63,126,127,high,5.0,0.5,21,30.0,40.0,35.0,0.6108652381980153,0.007428047247231007,0.007428047247231007,35.0,0.6108652381980153,0.007428047247231007,0.4253600537776947,0.0,0.0,0.0,0.4179320065304637,98.25370361385343,0.42536006651349817,3,1,1,1,1
1,0,59,118,119,high,5.0,0.5,21,-30.0,-20.0,-25.0,-0.4363323129985824,0.03253517672419548,0.03253517672419548,-26.0,-0.4537856055185257,0.00024343031691387296,0.41513118147850037,-1.0,0.03229174640728161,99.25179346964222,0.4148877511615865,99.9413606282123,0.4151311777337717,3,1,1,1,1
17,4,38,76,77,high,5.0,0.5,21,35.0,45.0,40.0,0.6981317007977318,0.04498857632279396,0.04498857632279396,42.5,0.7417649320975901,0.0009618818876333535,0.4084940254688263,2.5,0.04402669443516061,97.8619419278089,0.40753214358119294,99.76452975376337,0.40849401661874796,2,1,1,1,0
0,7,48,96,97,high,5.0,0.5,21,15.0,25.0,20.0,0.3490658503988659,0.062054987996816635,0.062054987996816635,18.0,0.3141592653589793,0.005776251666247845,0.41208380460739136,-2.0,0.05627873633056879,90.69172059699027,0.4063075529411435,98.59828229072212,0.4120838120404412,3,1,1,1,1
