layer,head,pair,dim0,dim1,bucket_size,n_buckets,current_global_gap,best_global_alpha_deg,best_global_gap,global_gap_reduction,global_gap_reduction_pct,bucket_best_alpha_mean_deg,bucket_best_alpha_std_deg,bucket_best_alpha_min_deg,bucket_best_alpha_max_deg,bucket_best_alpha_range_deg,bucket_best_gap_mean,bucket_best_gap_median,bucket_consistent_flag
0,3,61,122,123,256,80,0.49740102887153625,35.0,0.0012643812224268913,0.49613664764910936,99.74580245133481,29.0,24.70323944091797,-45.0,40.0,85.0,0.030210575088858604,0.029151447117328644,0
0,4,40,80,81,256,80,0.4381190538406372,40.0,0.00022217309742700309,0.4378968807432102,99.94928933232202,4.875,35.46102523803711,-45.0,40.0,85.0,0.031015802174806595,0.027501601725816727,0
0,4,42,84,85,256,80,0.5487631559371948,35.0,0.05897776782512665,0.4897853881120682,89.2526006553041,28.0625,19.613351821899414,-45.0,40.0,85.0,0.03181762248277664,0.028215523809194565,0
0,4,44,88,89,256,80,0.4708692729473114,30.0,0.032351236790418625,0.4385180361568928,93.12946529980124,29.875,4.935521602630615,20.0,40.0,20.0,0.029939716681838036,0.02867996320128441,1
0,4,45,90,91,256,80,0.49991515278816223,-30.0,0.05578587204217911,0.4441292807459831,88.84093195994437,-24.0625,4.478682041168213,-30.0,-15.0,15.0,0.03339406102895737,0.03335344046354294,1
0,4,46,92,93,256,80,0.3152886629104614,35.0,0.011721545830368996,0.30356711708009243,96.28228122059124,28.375,12.16488265991211,-45.0,40.0,85.0,0.01875639520585537,0.01795101910829544,0
0,4,48,96,97,256,80,0.47621673345565796,20.0,0.004944608546793461,0.4712721249088645,98.9616894578834,31.6875,6.069583415985107,20.0,40.0,20.0,0.028326421976089478,0.025487083941698074,1
0,4,49,98,99,256,80,0.6270688772201538,-45.0,0.07564064860343933,0.5514282286167145,87.93742579941771,-42.375,2.847696542739868,-45.0,-30.0,15.0,0.04163747280836105,0.04440256208181381,1
0,4,50,100,101,256,80,0.44812315702438354,-35.0,0.04321131482720375,0.4049118421971798,90.35726805235095,-36.875,10.197273254394531,-45.0,40.0,85.0,0.03503101319074631,0.037329304963350296,0
0,4,52,104,105,256,80,0.32064053416252136,-20.0,0.03253946825861931,0.28810106590390205,89.85172964996178,-15.1875,5.991856575012207,-30.0,-5.0,25.0,0.027145838364958763,0.026969721540808678,0
0,4,54,108,109,256,80,0.30365487933158875,35.0,0.013642958365380764,0.290011920966208,95.50708409645453,23.75,17.862319946289062,-45.0,40.0,85.0,0.020186472684144974,0.018385887145996094,0
0,4,58,116,117,256,80,0.3812803626060486,-15.0,0.05915877968072891,0.32212158292531967,84.48417870871212,-11.25,2.1650636196136475,-15.0,-10.0,5.0,0.07400099188089371,0.07578454166650772,1
0,4,60,120,121,256,80,0.3087009787559509,20.0,0.019730815663933754,0.2889701630920172,93.6084376073416,22.3125,6.321775436401367,10.0,40.0,30.0,0.04216016083955765,0.045740045607089996,0
0,4,62,124,125,256,80,0.534613847732544,-40.0,0.016785699874162674,0.5178281478583813,96.8602197744492,-35.6875,4.383473873138428,-45.0,-25.0,20.0,0.027180755510926247,0.02304994687438011,1
0,5,44,88,89,256,80,0.4502454400062561,35.0,0.020001018419861794,0.4302444215863943,95.55775214079151,34.3125,3.8522517681121826,30.0,40.0,10.0,0.03768462687730789,0.04924899339675903,1
