layer,head,pair,dim0,dim1,override_priority,search_window_deg,search_step_deg,search_grid_size,search_grid_min_deg,search_grid_max_deg,coarse_best_alpha_deg,coarse_best_alpha_rad,coarse_best_gap_csv,coarse_best_gap_recomputed,refined_best_alpha_deg,refined_best_alpha_rad,refined_best_gap,gap_at_zero_deg,refine_delta_deg,gap_improvement_vs_coarse,gap_improvement_vs_coarse_pct,gap_improvement_vs_zero,gap_improvement_vs_zero_pct,post_residual_gap,support_count_234,criterion1_residual_gap,criterion2_pre_line_like,criterion3_post_directional,criterion4_bucket_consistent
1,3,45,90,91,high,10.0,1.0,21,-25.0,-5.0,-15.0,-0.2617993877991494,0.06645232439041138,0.06645232439041138,-17.0,-0.29670597283903605,0.00794858019798994,0.43609100580215454,-2.0,0.058503744192421436,88.03867243034036,0.4281424256041646,98.17731159500316,0.4360910189735258,3,1,1,1,1
0,7,63,126,127,high,10.0,1.0,21,25.0,45.0,35.0,0.6108652381980153,0.007428047247231007,0.007428047247231007,35.0,0.6108652381980153,0.007428047247231007,0.4253600537776947,0.0,0.0,0.0,0.4179320065304637,98.25370361385343,0.42536006651349817,3,1,1,1,1
1,0,59,118,119,high,10.0,1.0,21,-35.0,-15.0,-25.0,-0.4363323129985824,0.03253517672419548,0.03253517672419548,-26.0,-0.4537856055185257,0.00024343031691387296,0.41513118147850037,-1.0,0.03229174640728161,99.25179346964222,0.4148877511615865,99.9413606282123,0.4151311777337717,3,1,1,1,1
0,7,48,96,97,high,10.0,1.0,21,10.0,30.0,20.0,0.3490658503988659,0.062054987996816635,0.062054987996816635,18.0,0.3141592653589793,0.005776251666247845,0.41208380460739136,-2.0,0.05627873633056879,90.69172059699027,0.4063075529411435,98.59828229072212,0.4120838120404412,3,1,1,1,1
17,4,38,76,77,high,10.0,1.0,21,-44.0,45.0,40.0,0.6981317007977318,0.04498857632279396,0.04498857632279396,42.0,0.7330382858376184,0.008450593799352646,0.4084940254688263,2.0,0.036537982523441315,81.21613420544926,0.40004343166947365,97.9312809313052,0.40849401661874796,2,1,1,1,0
1,7,51,102,103,high,10.0,1.0,21,20.0,40.0,30.0,0.5235987755982988,0.031639743596315384,0.031639743596315384,32.0,0.5585053606381855,0.0060067432932555676,0.4019284248352051,2.0,0.025633000303059816,81.01519604616807,0.3959216815419495,98.50551916159739,0.40192842553053887,2,1,1,1,0
0,2,37,74,75,high,10.0,1.0,21,25.0,45.0,35.0,0.6108652381980153,0.009385844692587852,0.009385844692587852,36.0,0.6283185307179586,0.0012665939284488559,0.39699041843414307,1.0,0.008119250764138997,86.5052750185702,0.3957238245056942,99.68095100797528,0.3969904119940356,2,1,1,1,0
1,3,56,112,113,high,10.0,1.0,21,25.0,45.0,35.0,0.6108652381980153,0.029867637902498245,0.029867637902498245,33.0,0.5759586531581288,0.004236353095620871,0.3988501727581024,-2.0,0.025631284806877375,85.81624328830327,0.39461381966248155,98.93785852809692,0.3988501713022195,2,1,1,1,0
1,5,49,98,99,high,10.0,1.0,21,-45.0,44.0,-45.0,-0.7853981633974483,0.033012036234140396,0.033012036234140396,44.0,0.767944870877505,0.0012542979093268514,0.3955051600933075,-1.0,0.031757738324813545,96.2004830588739,0.39425086218398064,99.68286180917818,0.39550515446650947,2,1,1,1,0
19,4,40,80,81,high,10.0,1.0,21,-44.0,45.0,40.0,0.6981317007977318,0.0067975809797644615,0.0067975809797644615,40.0,0.6981317007977318,0.0067975809797644615,0.39980608224868774,0.0,0.0,0.0,0.3930085012689233,98.29978049820257,0.39980607466528634,2,1,1,1,0
0,7,57,114,115,high,10.0,1.0,21,-25.0,-5.0,-15.0,-0.2617993877991494,0.033757902681827545,0.033757902681827545,-14.0,-0.24434609527920614,0.000572271179407835,0.38810476660728455,1.0,0.03318563150241971,98.30477863272027,0.3875324954278767,99.85254724274311,0.3881047652128046,3,1,1,1,1
