layer,head,pair,dim0,dim1,pre_absmax_dim0,pre_absmax_dim1,pre_residual_gap,post_absmax_dim0,post_absmax_dim1,post_residual_gap,residual_improvement
0,2,49,98,99,5.078125,3.791015625,0.25346153846153846,5.215158462524414,3.7790005207061768,0.27538145813560966,-0.021919919674071198
0,2,50,100,101,3.36328125,3.8125,0.11782786885245902,3.3658318519592285,3.864755630493164,0.12909581516549085,-0.011267946313031824
0,2,51,102,103,3.240234375,4.06640625,0.20317002881844382,3.280797243118286,4.103686809539795,0.20052445632755078,0.0026455724908930334
0,2,52,104,105,4.04296875,5.046875,0.19891640866873064,4.05954122543335,5.07085657119751,0.19943678776253232,-0.0005203790938016761
0,2,53,106,107,4.5390625,4.8203125,0.05834683954619125,4.495481014251709,4.807315349578857,0.06486662776438548,-0.006519788218194232
0,2,54,108,109,3.97265625,3.892578125,0.02015732546705998,3.972625732421875,3.8916945457458496,0.020372215287113502,-0.00021488982005352097
0,2,55,110,111,3.5,3.3355941772460938,0.04697309221540179,3.4907352924346924,3.3356308937072754,0.044433159702360565,0.0025399325130412223
0,2,56,112,113,4.9140625,3.279296875,0.332670906200318,4.898833751678467,3.2800915241241455,0.33043420324270006,0.0022367029576179087
0,2,57,114,115,5.31640625,3.83203125,0.27920646583394565,5.3031768798828125,3.835383653640747,0.2767762153681927,0.002430250465752959
0,2,58,116,117,4.0,2.794921875,0.30126953125,3.964479446411133,2.807447910308838,0.29184954840658944,0.009419982843410557
0,2,59,118,119,3.21484375,2.51953125,0.21628189550425272,3.2230374813079834,2.5135858058929443,0.22011896527096145,-0.003837069766708723
0,2,60,120,121,3.640625,3.587890625,0.014484978540772532,3.640233039855957,3.5862209796905518,0.014837528140105699,-0.00035254959933316704
0,2,61,122,123,3.724609375,4.45703125,0.16432953549517967,3.698984384536743,4.4824724197387695,0.1747892595505778,-0.010459724055398134
0,2,62,124,125,4.703125,3.890625,0.17275747508305647,4.711018085479736,3.889601945877075,0.17436064237036653,-0.0016031672873100533
0,2,63,126,127,3.70703125,2.896484375,0.21865121180189673,3.7065796852111816,2.892603635787964,0.21960300831272744,-0.0009517965108307158
0,3,32,64,65,1.3525390625,2.1875,0.38169642857142855,2.0433764457702637,1.8388086557388306,0.10011262998302792,0.28158379858840066
0,3,33,66,67,2.08203125,3.853515625,0.45970603142422706,4.105113506317139,4.142647743225098,0.009060446177047668,0.4506455852471794
0,3,34,68,69,2.0859375,1.806640625,0.13389513108614232,2.245297908782959,2.1555652618408203,0.039964695371215726,0.0939304357149266
0,3,35,70,71,2.9743804931640625,2.912109375,0.020935827916831257,2.9732463359832764,3.0416505336761475,0.02248917057877704,-0.0015533426619457821
0,3,36,72,73,4.61328125,1.25,0.729043183742591,4.437619209289551,3.8650691509246826,0.12902189921260315,0.6000212845299879
0,3,37,74,75,1.8857421875,3.25,0.41977163461538464,3.6605427265167236,3.1464829444885254,0.14043266816813366,0.279338966447251
0,3,38,76,77,3.947265625,1.3369140625,0.661306284017813,3.6536550521850586,3.579874038696289,0.020193754592307503,0.6411125294255055
0,3,39,78,79,6.578125,2.96875,0.5486935866983373,6.134207725524902,5.919547080993652,0.034994029243260026,0.5136995574550773
0,3,40,80,81,4.8828125,2.64453125,0.4584,4.695247173309326,4.444277763366699,0.05345179937901704,0.4049482006209829
0,3,41,82,83,2.759765625,4.1015625,0.3271428571428571,4.230411529541016,4.100520133972168,0.03070419855416298,0.2964386585886941
0,3,42,84,85,2.38671875,2.03125,0.14893617021276595,2.38671875,2.0282676219940186,0.15018574266699058,-0.0012495724542246345
0,3,43,86,87,3.87109375,2.783203125,0.281029263370333,3.8281450271606445,3.789811611175537,0.010013574645979262,0.2710156887243538
0,3,44,88,89,2.55859375,1.8740234375,0.26755725190839696,2.4477345943450928,2.2274231910705566,0.0900062465038134,0.17755100540458357
0,3,45,90,91,1.58203125,2.654296875,0.40397350993377484,1.722927212715149,2.5656893253326416,0.3284739521252163,0.07549955780855855
0,3,46,92,93,1.6298828125,2.19140625,0.25623885918003564,1.615243911743164,2.328230857849121,0.30623550224939144,-0.049996643069355806
0,3,47,94,95,4.6015625,3.623046875,0.21264855687606113,4.678027153015137,3.523052930831909,0.2468934412744505,-0.03424488439838938
